,text,setiment
267,"['i', 'know', 'president', 'donald', 'trump', 'he', 'cares', 'military', 'veterans', 'especially', 'paid', 'ultimate', 'sacrifice', 'freedom', 'this', 'atlantic', 'tuna', 'treaty', 'iuna', 'another', 'anonymous', 'attempt', 'media', 'pontificate', 'manipulate', 'americans', 'know', 'better']",neutral
268,"['president', 'donald', 'trump', 'support', 'vulnerable', 'americans', 'exemplifies', 'decisive', 'leadership', 'needed', 'time', 'national', 'crisis', 'thank', 'mr', 'president', 'putting', 'american', 'people', 'first']",positive
269,"['happy', 'birthday', 'beautiful', 'wife', 'candy', 'thank', 'amazing', 'mother', 'grandmother', 'importantly', 'best', 'friend', 'i', 'prayed', 'wife', 'many', 'years', 'ago', 'god', 'blessed', 'one', 'greatest', 'gifts', 'i', 'ever', 'received']",positive
270,"['it', 'nice', 'back', 'sky', 'without', 'unnecessary', 'face', 'mask', 'no', 'masks']",positive
271,"['congratulations', 'next', 'president', 'united', 'states', 'donald', 'trump', 'we', 'people']",positive
272,"['silencing', 'significant', 'number', 'voters', 'erasing', 'history', 'way', 'unite', 'us', 'it', 'divides', 'big', 'tech', 'social', 'media', 'platforms', 'we', 'want', 'act', 'like', 'media', 'organs', 'want', 'held', 'accountable', 'rest', 'media', 'speech']",negative
273,['istanbul'],negative
274,"['not', 'sure', 'fully', 'awake', 'maybe', 'meant', 'reclaim', 'time', 'back', 'sleep', 'twitter', 'comspan', 'status']",neutral
275,"['it', 'disheartening', 'see', 'country', 'still', 'believe', 'african', 'americans', 'beholden', 'one', 'political', 'ideology', 'birth', 'due', 'color', 'skin']",negative
276,"['i', 'know', 'donald', 'trump', 'he', 'good', 'caring', 'man', 'someone', 'puts', 'country', ""'s"", 'trust', 'god', 'he', 'understands', 'rights', 'every', 'american', 'come', 'creator']",positive
277,"['i', 'know', 'president', 'donald', 'trump', 'he', 'cares', 'military', 'veterans', 'especially', 'paid', 'ultimate', 'sacrifice', 'freedom', 'this', 'atlantic', 'tuna', 'treaty', 'iuna', 'another', 'anonymous', 'attempt', 'media', 'pontificate', 'manipulate', 'americans', 'know', 'better']",neutral
278,"['president', 'donald', 'trump', 'support', 'vulnerable', 'americans', 'exemplifies', 'decisive', 'leadership', 'needed', 'time', 'national', 'crisis', 'thank', 'mr', 'president', 'putting', 'american', 'people', 'first']",positive
279,"['happy', 'birthday', 'beautiful', 'wife', 'candy', 'thank', 'amazing', 'mother', 'grandmother', 'importantly', 'best', 'friend', 'i', 'prayed', 'wife', 'many', 'years', 'ago', 'god', 'blessed', 'one', 'greatest', 'gifts', 'i', 'ever', 'received']",positive
280,"['it', 'nice', 'back', 'sky', 'without', 'unnecessary', 'face', 'mask', 'no', 'masks']",positive
281,"['congratulations', 'next', 'president', 'united', 'states', 'donald', 'trump', 'we', 'people']",positive
282,"['today', 'i', 'p', 'r', 'o', 'you', 'd', 'y', 'stand', 'friend', 'donald', 'trump', 'the', 'american', 'people', 'appalled', 'case', 'political', 'persecution', 'outraged', 'current', 'state', 'judicial', 'system', 'join', 'praying', 'future', 'nation']",positive
283,"['happy', 'th', 'wedding', 'anniversary', 'beautiful', 'wife', 'candy', 'i', 'blessed', 'marry', 'loving', 'mother', 'grandmother', 'patriot', 'cheers', 'many']",positive
284,"['why', 'i', 'will', 'not', 'participate', 'project', 'overturn', 'election', 'senator', 'sasse', 'posts']",negative
285,"['every', 'american', 'cares', 'rule', 'law', 'take', 'comfort', 'supreme', 'court', 'including', 'three', 'president', 'trump', 'picks', 'closed', 'book', 'nonsense']",neutral
286,"['today', 'i', 'celebrate', 'another', 'year', 'life', 'i', 'grateful', 'god', 'blessed', 'see', 'another', 'year', 'family', 'friends', 'thank', 'advance', 'birthday', 'wishes']",positive
287,"['we', 'left', 'doubt', 'none', 'donald', 'trump', 'led', 'effort', 'upend', 'american', 'democracy', 'directly', 'resulted', 'violence', 'january', 'th', 'trump', 'law']",negative
288,"['i', 'asking', 'wear', 'mask']",neutral
289,"['donald', 'trump', 'believes', 'climate', 'change', 'hoax', 'donald', 'trump', 'idiot']",negative
290,"['militia', 'district']",negative
291,"['wow', 'crazy', 'bernie', 'sanders', 'surging', 'polls', 'looking', 'good', 'opponents', 'do', 'nothing', 'part', 'so', 'mean', 'stay', 'tuned']",positive
292,"['i', 'asking', 'wear', 'mask']",neutral
293,"['donald', 'trump', 'believes', 'climate', 'change', 'hoax', 'donald', 'trump', 'idiot']",negative
294,"['militia', 'district']",negative
295,"['wow', 'crazy', 'bernie', 'sanders', 'surging', 'polls', 'looking', 'good', 'opponents', 'do', 'nothing', 'part', 'so', 'mean', 'stay', 'tuned']",positive
296,"['some', 'people', 'ask', 'would', 'impeach', 'convict', 'president', 'days', 'left', 'office', 'the', 'answer', 'precinct']",negative
297,"['let', 'us', 'go', 'forward', 'together', 'struggle', 'continues']",neutral
298,"['trump', 'peaceful', 'demonstrators', 'viciously', 'attacked', 'no', 'mr', 'president', 'dictatorship', 'this', 'united', 'states', 'america', 'our', 'citizens', 'constitutional', 'right', 'peacefully', 'protest', 'it', 'called', 'first', 'amendment']",negative
299,['covid'],neutral
300,"['ready', 'fight', 'medicare', 'for', 'all', 'you', 'r', 'z', 'p']",neutral
301,"['as', 'far']",neutral
302,"['bernie', 'going']",positive
303,"['i', 'asking', 'wear', 'mask']",neutral
304,"['donald', 'trump', 'believes', 'climate', 'change', 'hoax', 'donald', 'trump', 'idiot']",negative
305,"['militia', 'district']",negative
306,"['wow', 'crazy', 'bernie', 'sanders', 'surging', 'polls', 'looking', 'good', 'opponents', 'do', 'nothing', 'part', 'so', 'mean', 'stay', 'tuned']",positive
307,"['some', 'people', 'ask', 'would', 'impeach', 'convict', 'president', 'days', 'left', 'office', 'the', 'answer', 'precinct']",negative
308,"['let', 'us', 'go', 'forward', 'together', 'struggle', 'continues']",neutral
309,"['trump', 'peaceful', 'demonstrators', 'viciously', 'attacked', 'no', 'mr', 'president', 'dictatorship', 'this', 'united', 'states', 'america', 'our', 'citizens', 'constitutional', 'right', 'peacefully', 'protest', 'it', 'called', 'first', 'amendment']",negative
310,['covid'],neutral
311,"['i', 'asking', 'wear', 'mask']",neutral
312,"['donald', 'trump', 'believes', 'climate', 'change', 'hoax', 'donald', 'trump', 'idiot']",negative
313,"['militia', 'district']",negative
314,"['wow', 'crazy', 'bernie', 'sanders', 'surging', 'polls', 'looking', 'good', 'opponents', 'do', 'nothing', 'part', 'so', 'mean', 'stay', 'tuned']",positive
315,"['i', 'asking', 'wear', 'mask']",neutral
316,"['donald', 'trump', 'believes', 'climate', 'change', 'hoax', 'donald', 'trump', 'idiot']",negative
317,"['militia', 'district']",negative
318,"['wow', 'crazy', 'bernie', 'sanders', 'surging', 'polls', 'looking', 'good', 'opponents', 'do', 'nothing', 'part', 'so', 'mean', 'stay', 'tuned']",positive
319,"['i', 'asking', 'wear', 'mask']",neutral
320,"['donald', 'trump', 'believes', 'climate', 'change', 'hoax', 'donald', 'trump', 'idiot']",negative
321,"['militia', 'district']",negative
322,"['wow', 'crazy', 'bernie', 'sanders', 'surging', 'polls', 'looking', 'good', 'opponents', 'do', 'nothing', 'part', 'so', 'mean', 'stay', 'tuned']",positive
323,"['heading', 'people', 'house', 'pelosi', 'house']",neutral
324,"['so', 'honored', 'president', 'trump', 'today', 'a', 'true', 'american', 'leader', 'cares', 'success', 'stronger', 'future', 'families', 'join', 'euro', 'area']",positive
325,"['governor', 'abbott', 'if', 'decency', 'immediately', 'withdraw', 'weekend', 'n', 'r', 'a', 'convention', 'urge', 'hold', 'anywhere', 'texas']",negative
326,"['we', 'want', 'say', 'thank', 'everyone', 'made', 'possible', 'everyone', 'made', 'us', 'feel', 'hopeful', 'everyone', 'inspired', 'us', 'everyone', 'became', 'amazing', 'campaign', 'could', 'ever', 'hoped', 'belong', 'grateful', 'got', 'we', 'love', 'goodnight']",positive
327,"['this', 'resignation']",negative
328,"['people', 'hometown', 'dead', 'act', 'terror', 'inspired', 'racism', 'el', 'paso', 'quiet', 'neither', 'i']",negative
329,"['beto', 'phony', 'name', 'indicate', 'hispanic', 'heritage', 'o', 'rourke', 'embarrassed', 'last', 'visit', 'great', 'state', 'texas', 'i', 'trounced', 'even', 'embarrassed', 'polling', 'democrat', 'primary']",negative
330,"['this', 'her', 'name', 'gina', 'daughter', ""'s"", 'name', 'summer', 'the', 'problem', 'economy', 'live', 'car', 'disgraced', 't']",negative
331,"['beto', 'says', 'met', 'woman', 'working', 'f', 'o', 'you', 'jobs', 'raising', 'special', 'needs', 'child', 'i', 'believe', 'sorry']",negative
332,"['governor', 'abbott', 'if', 'decency', 'immediately', 'withdraw', 'weekend', 'n', 'r', 'a', 'convention', 'urge', 'hold', 'anywhere', 'texas']",negative
333,"['we', 'want', 'say', 'thank', 'everyone', 'made', 'possible', 'everyone', 'made', 'us', 'feel', 'hopeful', 'everyone', 'inspired', 'us', 'everyone', 'became', 'amazing', 'campaign', 'could', 'ever', 'hoped', 'belong', 'grateful', 'got', 'we', 'love', 'goodnight']",positive
334,"['you', 'misspelled', 'parents']",negative
335,"['educators', 'love', 'students', 'know', 'better', 'anyone', 'need', 'learn', 'thrive']",positive
336,"['i', 'appreciate', 'senate', ""'s"", 'diligence', 'honored', 'serve', 'secretary', 'let', 'us', 'improve', 'options', 'outcomes', 'you', 's', 'students']",positive
337,"['you', 'misspelled', 'parents']",negative
338,"['educators', 'love', 'students', 'know', 'better', 'anyone', 'need', 'learn', 'thrive']",positive
339,"['i', 'appreciate', 'senate', ""'s"", 'diligence', 'honored', 'serve', 'secretary', 'let', 'us', 'improve', 'options', 'outcomes', 'you', 's', 'students']",positive
340,"['the', 'white', 'house', 'coronavirus', 'task', 'force', 'donald', 'trump', 'announced', 'new', 'guidelines', 'every', 'american', 'follow', 'save', 'lives', 'reduce', 'impact', 'coronavirus', 'outbreak', 'we', 'must', 'part', 'limit', 'spread', 'virus']",neutral
341,"['as', 'doctor', 'ran', 'vaccine', 'programs', 'decrease', 'spread', 'disease', 'donald', 'trump', 'necessary', 'protect', 'americans', 'coronavirus', 'democrats', 'attacks', 'unfounded', 'aimed', 'stoking', 'fear', 'political', 'gain']",neutral
342,"['based', 'allegations', 'roy', 'moore', 'response', 'known', 'i', 'withdraw', 'support']",negative
343,"['the', 'white', 'house', 'coronavirus', 'task', 'force', 'donald', 'trump', 'announced', 'new', 'guidelines', 'every', 'american', 'follow', 'save', 'lives', 'reduce', 'impact', 'coronavirus', 'outbreak', 'we', 'must', 'part', 'limit', 'spread', 'virus']",neutral
344,"['this', 'young', 'man', 'given', 'honor', 'represent', 'y', 'o', 'you', 's', 'world', 'stage', 'instead', 'chose', 'put', 'identity', 'politics', 'pride', 'country', 'i', 'heard', 'enough', 'we', 'must', 'honor', 'flag', 'pay', 'respect', 'sacrificed', 'rights']",negative
345,"['hardworking', 'parents', 'deserve', 'flexibility', 'spend', 'time', 'newborn', 'children', 'without', 'suffering', 'financial', 'hardships', 'time', 'missed', 'work', 'that', 'i', 'fighting', 'i', 'proud', 'helped', 'ensure', 'get', 'way']",positive
346,"['even', 'protect', 'free', 'speech', 'assembly', 'must', 'condemn', 'hatred', 'violence', 'white', 'supremacy', 'charlottesville']",negative
347,"['i', 'voted', 'impeach', 'donald', 'trump']",neutral
348,"['i', 'thrilled', 'joined', 'science', 'committee', 'republican', 'colleague', 'dr', 'george', 'santos', 'winner', 'nobel', 'prize', 'also', 'fields', 'medal', 'top', 'prize', 'mathematics', 'groundbreaking', 'work', 'imaginary', 'numbers']",positive
349,"['we', 'way', 'white', 'house', 'join', 'signs', 'infrastructure', 'bill', 'law']",positive
350,"['i', 'gun', 'owner', 'hunter', 'i', 'always', 'continue', 'strongly', 'support', 'amendment', 'rights', 'reached', 'public', 'health', 'crisis', 'guns', 'killer', 'kids', 'nationwide', 'there', 'policies', 'warrant', 'consideration', 'respect', 'whole', 'nuclear', 'issue']",neutral
351,"['t', 'n', 'n', 'y', 'o', 'you', 's', 'daily', 'new', 'covid', 'cases', 'per', 'population', 'if', 'independent', 'nation', 'would', 'able', 'deal', 'new', 'covid', 'cases', 'world', 'this', 'week', 'i', 'would', 'say', 'full', 'grass', 'fever', 'market']",neutral
352,"['history', 'look', 'kindly', 'leaders', 'treat', 'human', 'beings', 'like', 'cargo', 'loading', 'sending', 'thousand', 'miles', 'away', 'without', 'telling', 'destination', 'still', 'florida', 'gov', 'ron', 'de', 'santis', 'made', 'choice', 'today']",negative
353,"['i', 'support', 'impeachment', 'th', 'amendment', 'invoked']",neutral
354,"['militia', 'district']",neutral
355,"['a', 'widely', 'available', 'vaccine', 'changes', 'everything', 'new', 'season', 'tennessee', 'i', 'renewing', 'public', 'health', 'orders', 'c', 'o', 'v', 'i', 'd', 'longer', 'health', 'emergency', 'state']",neutral
356,"['thank', 'tennessee']",positive
357,"['we', 'expect', 'highest', 'standards', 'public', 'institutions', 'the', 'special', 'chosen', 'lead', 'within', 'institutions', 'demonstrated', 'history', 'integrity', 'character', 'i', 'hope', 'today', 'i', 'mean', 'tomorrow', 'discussions', 'continue']",neutral
358,"['a', 'widely', 'available', 'vaccine', 'changes', 'everything', 'new', 'season', 'tennessee', 'i', 'renewing', 'public', 'health', 'orders', 'c', 'o', 'v', 'i', 'd', 'longer', 'health', 'emergency', 'state']",neutral
359,"['thank', 'tennessee']",positive
360,"['we', 'expect', 'highest', 'standards', 'public', 'institutions', 'the', 'special', 'chosen', 'lead', 'within', 'institutions', 'demonstrated', 'history', 'integrity', 'character', 'i', 'hope', 'today', 'i', 'mean', 'tomorrow', 'discussions', 'continue']",neutral
361,"['i', 'vote', 'no', 'judge', 'kavanaugh']",negative
362,"['senate', 'republicans', 'voted', 'amendment', 'make', 'modest', 'middle', 'class', 'tax', 'cuts', 'permanent', 'instead', 'tax', 'increase', 'years', 'proof', 'g', 'o', 'p', 'tax', 'bill', 'never', 'helping', 'middle', 'class']",negative
363,"['congrats', 'space', 'x', 'starship', 'first', 'integrated', 'flight', 'test', 'every', 'great', 'achievement', 'throughout', 'history', 'demanded', 'level', 'calculated', 'risk', 'great', 'risk', 'comes', 'great', 'reward', 'looking', 'forward', 'europe', 'x', 'learns', 'next', 'flight', 'test', 'beyond']",positive
364,"['liftoff', 'starship']",neutral
365,"['i', 'vote', 'no', 'judge', 'kavanaugh']",negative
366,"['senate', 'republicans', 'voted', 'amendment', 'make', 'modest', 'middle', 'class', 'tax', 'cuts', 'permanent', 'instead', 'tax', 'increase', 'years', 'proof', 'g', 'o', 'p', 'tax', 'bill', 'never', 'helping', 'middle', 'class']",negative
367,"['congrats', 'space', 'x', 'starship', 'first', 'integrated', 'flight', 'test', 'every', 'great', 'achievement', 'throughout', 'history', 'demanded', 'level', 'calculated', 'risk', 'great', 'risk', 'comes', 'great', 'reward', 'looking', 'forward', 'europe', 'x', 'learns', 'next', 'flight', 'test', 'beyond']",positive
368,"['liftoff', 'starship']",neutral
369,"['today', 'i', 'calling', 'house', 'leaders', 'refuse', 'seat', 'members', 'trying', 'overturn', 'election', 'make', 'donald', 'trump', 'unelected', 'dictator']",negative
370,"['tonight', 'i', 'calling', 'eventual', 'prosecution', 'donald', 'trump', 'enablers', 'many', 'crimes', 'united', 'states']",negative
371,"['today', 'i', 'calling', 'house', 'leaders', 'refuse', 'seat', 'members', 'trying', 'overturn', 'election', 'make', 'donald', 'trump', 'unelected', 'dictator']",negative
372,"['tonight', 'i', 'calling', 'eventual', 'prosecution', 'donald', 'trump', 'enablers', 'many', 'crimes', 'united', 'states']",negative
373,"['terrorists', 'ransacked', 'you', 's', 'capitol', 'hours', 'later', 'house', 'republicans', 'voted', 'make', 'trump', 'dictator', 'nothing', 'say', 'sexuality', 'interviews', 'they', 'tried', 'finish', 'rioters', 'job', 'end', 'democracy']",negative
374,"['well', 'ayanna', 'pressley', 'a', 'o', 'c', 'rep', 'rashida', 'ilhan', 'm', 'n']",neutral
375,"['year', 'old', 'new', 'jersey', 'congressman', 'bill', 'pascrell', 'quietly', 'asks', 'ilhan', 'omar', 'if', 'he', 'can', 'be', 'part', 'of', 'squad', 'vn', 'x', 'a', 'j', 'b']",neutral
376,"['according', 'affidavit', 'm', 'i', 'lawsuit', 'one', 'michigan', 'precinct', 'twp', 'thousand', 'turnout', 'how', 'happen', 'see', 'exhibit', 'page', 'link', 'm', 'i', 'lawsuit', 'exhibits']",neutral
377,"['unfortunately', 'i', 'received', 'positive', 'c', 'o', 'v', 'd', 'test', 'morning', 'following', 'tested', 'yesterday', 'advice', 'house', 'attending', 'physician']",negative
378,"['today', 'i', 'strict', 'isolation', 'worried', 'i', 'risked', 'wife', 'health', 'angry', 'selfishness', 'arrogance', 'anti', 'maskers', 'put', 'contempt', 'disregard', 'decency', 'ahead', 'health', 'safety', 'colleagues', 'staff']",negative
379,"['wearing', 'mask', 'political', 'statement', 'public', 'health', 'guidance', 'common', 'courtesy', 'simply', 'expected', 'decent', 'people']",neutral
380,"['i', 'introduced', 'h', 'res', 'articles', 'impeachment', 'donald', 'j', 'trump', 'obstruction', 'justice', 'statement']",neutral
381,"['everyone', 'knows', 'anything', 'foreign', 'policy', 'south', 'asia', 'knows', 'india', 'consistently', 'opposes', 'third', 'party', 'mediation', 'replay', 'kashmir', 'everyone', 'knows', 'prime', 'minister', 'modi', 'would', 'never', 'suggest', 'thing', 'trump', 'statement', 'amateurish', 'delusional', 'embarrassing', 'no']",negative
382,"['completely', 'agree']",positive
383,"['hey', 'america', 'noticed', 'say', 'china', 'virus', 'o', 'k', 'say', 'you', 'k', 'variant']",neutral
384,"['just', 'arrived', 'white', 'house', 'join', 'donald', 'trump', 'p', 'o', 't', 'you', 's', 'you', 's', 'm', 'c', 'a', 'signing', 'promises', 'kept']",neutral
385,"['mississippi', 'poorest', 'state', 'nation', 'one', 'seven', 'states', 'tax', 'food', 'bought', 'grocery', 'store', 'food', 'basic', 'necessity', 'life', 'taxed', 'make', 'meal', 'kitchen', 'grocery', 'tax', 'anti', 'family', 'anti', 'life', 'repealed']",negative
386,"['when', 'father', 'murdered', 'myama', 'became', 'family', 'rock', 'i', 'running', 'governor', 'help', 'working', 'people', 'like', 'eliminating', 'deposit', 'cans']",neutral
387,"['n', 'e', 'w', 'this', 'poll', 'us', 'within', 'points', 'tate', 'reeves', 'even', 'got', 'race', 'mississippians', 'want', 'someone', 'new', 'governor', 'office', 'it', 'clear', 'people', 'mississippi', 'ready', 'fire', 'tate', 'reeves', 'join', 'us']",neutral
388,"['i', 'feel', 'way', 'couple', 'weeks', 'ago', 'i', 'barricaded', 'office']",negative
389,"['donald', 'trump', 'first', 'president', 'modern', 'history', 'start', 'new', 'war']",neutral
390,"['i', 'strongly', 'support', 'colleague', 'matt', 'gaetz', 'raheem', 'kassam']",positive
391,"['like', 'democratic', 'colleagues', 'i', 'young', 'immigrant', 'family', 'also', 'critical', 'trump', 'funny', 'thing', 'though', 'never', 'tells', 'go', 'back', 'i', 'come', 'but', 'i', 'wonder']",negative
392,"['so', 'interesting', 'see', 'progressive', 'democrat', 'congresswomen', 'originally', 'came', 'countries', 'whose', 'governments', 'complete', 'total', 'catastrophe', 'worst', 'corrupt', 'inept', 'anywhere', 'world', 'even', 'functioning', 'government', 'loudly']",negative
393,"['dear', 'just', 'stop', 'you', 'know', 'better', 'i', 'know', 'know', 'better', 'it', 'fucking', 'game', 'a', 'total', 'made']",negative
394,"['tonight', 'i', 'called', 'speaker', 'pelosi', 'bring', 'born', 'alive', 'act', 'floor', 'vote', 'th', 'time', 'declined', 'it', 'horrific', 'refuse', 'medical', 'care', 'babies', 'survived', 'attempted', 'abortions', 'we', 'you', 's']",negative
395,"['i', 'bernie', 'sanders']",neutral
396,"['really', 'use', 'success', 'greater', 'good', 'deeper', 'calling', 'could', 'capri', 'instead', 'asses', 'wrong', 'i', 'commend', 'you', 'got', 'balls', 'man']",positive
397,"['i', 'could', 'said', 'better', 'f', 'i', 'n', 'a', 'l', 'e', 'v', 'e', 'l']",positive
398,"['new', 'york', 'prosecutors', 'frothing', 'mouth']",negative
399,"['kind', 'got', 'ralph', 'ouch']",negative
400,"['i', 'really', 'know', 'run', 'president', 'man', 'even', 'four', 'years', 'would', 'get', 'shit', 'together']",negative
401,"['i', 'sorry', 'hear', 'loss', 'john', 'travolta', 'wife', 'beautiful', 'talented', 'kelly', 'preston', 'love']",negative
402,"['the', 'reason', 'i', 'c', 'e', 't', 'still', 'huge', 'monster', 'talent', 'kid', 'remains', 'monster', 'talents', 'adult', 'it', 'simple', 'f', 'i', 'n', 'a', 'l', 'e', 'v', 'e', 'l']",positive
403,"['in', 'next', 'congress', 'i', 'everything', 'power', 'ensure', 'ukraine', 'accomplishes', 'complete', 'total', 'victory', 'unification', 'country', 'vladimir', 'putin', 'suffers', 'complete', 'totally', 'humiliating', 'defeat', 'ukraine', 'no']",negative
404,"['the', 'language', 'tone', 'used', 'many', 'country', 'needs', 'change', 'hatfield', 'versus', 'mc', 'coy', 'brand', 'politics', 'must', 'end', 'democrats', 'republicans', 'need', 'start', 'treating', 'respectfully', 'like', 'human', 'beings', 'we', 'created', 'image', 'likeness', 'god']",neutral
405,"['what', 'happened', 'today', 'nothing', 'short', 'coup', 'attempt', 'the', 'president', 'united', 'states', 'lying', 'supporters', 'false', 'information', 'false', 'expectations', 'he', 'lit', 'flame', 'incitement', 'owns', 'responsibility', 'matter']",negative
406,"['this', 'important', 'ukraine', 'for', 'america', 'every', 'freedom', 'loving', 'movement', 'across', 'world', 'part', 'i']",positive
407,"['i', 'disheartened', 'hear', 'mass', 'detentions', 'g', 'l', 'followers', 'turkey', 'i', 'condemn', 'type', 'political', 'persecution', 'urge', 'turkey', 'immediately', 'release', 'political', 'dissidents', 'turkey', 'needs', 'start', 'acting', 'like', 'n', 'a', 't', 'o', 'ally', 'must', 'cease', 'political', 'persecution']",negative
408,"['honored', 'selected', 'house', 'leadership', 'escort', 'president', 'volodymyr', 'zelenskyi', 'house', 'chamber', 'evening', 'address', 'congress']",positive
409,"['headed', 'house', 'floor', 'introduce', 'st', 'patrick', 'day', 'act', 'make', 'st', 'pat', ""'s"", 'day', 'federal', 'holiday']",neutral
410,"['this', 'afternoon', 'house', 'unanimously', 'passed', 'four', 'bills', 'resolutions', 'support', 'people', 'hong', 'kong', 'right', 'protest', 'democracy', 'free', 'speech', 'recognition', 'human', 'rights', 'condemning', 'china', ""'s"", 'interference', 'freedoms']",neutral
411,"['there', 'way', 'say', 'another', 'month', 'delay', 'bullshit', 'let', 'us', 'reunite']",negative
412,"['there', 'room', 'hate', 'division', 'donald', 'trump', 'we', 'community', 'looking', 'heal', 'words', 'seek', 'tear', 'us', 'apart', 'stop']",negative
413,"['buffalo', 'protester', 'shoved', 'police', 'could', 'a', 'n', 't', 'i', 'f', 'a', 'provocateur', 'year', 'old', 'martin', 'gugino', 'pushed', 'away', 'appearing', 'scan', 'police', 'communications', 'order', 'black', 'equipment', 'a', 'n', 'n', 'i', 'watched', 'fell', 'harder', 'pushed', 'aiming', 'scanner', 'could', 'set']",negative
414,"['a', 'day', 'extension', 'you', 's', 'canada', 'border', 'shutdown', 'exceptions', 'vaccinated', 'no', 'goals', 'expand', 'crossings', 'no', 'family', 'reunification', 'no', 'plan', 'unacceptable', 'we', 'need', 'progress', 'reopening', 'border', 'it', 'essential', 'families', 'national', 'economies']",negative
415,"['georgia', ""'s"", 'election', 'result', 'include', 'legally', 'cast', 'ballots', 'o', 'n', 'l', 'y', 'legally', 'cast', 'ballot', 'period']",neutral
416,"['as', 'i', 'told', 'president', 'morning', 'i', 'publicly', 'called', 'signature', 'audit', 'three', 'times', 'th', 'th', 'th', 'th', 'restore', 'confidence', 'election', 'process', 'ensure', 'legal', 'votes', 'counted', 'georgia']",neutral
417,"['i', 'easily', 'quickly', 'win', 'georgia', 'governor', 'brian', 'kemp', 'g', 'a', 'secretary', 'state', 'permit', 'simple', 'signature', 'verification', 'done', 'show', 'large', 'scale', 'discrepancies', 'why', 'two', 'republicans', 'saying', 'no', 'if', 'win', 'georgia', 'everything', 'else', 'falls', 'place']",neutral
418,"['i', 'lost', 'two', 'legs', 'right', 'say', 'whatever', 'hell', 'wants', 'free', 'speech', 'also', 'protects', 'republicans', 'he', 'eager', 'condemn', 'asking', 'constitutional', 'questions', 'election']",negative
419,"['i', 'lost', 'two', 'legs', 'right', 'say', 'whatever', 'hell', 'wants', 'free', 'speech', 'also', 'protects', 'republicans', 'he', 'eager', 'condemn', 'asking', 'constitutional', 'questions', 'election']",negative
420,['istanbul'],negative
421,"['congressman', 'brian', 'mast', 'f', 'l', 'walking', 'protesters', 'leaving', 'trump', 'r', 'n', 'c', 'speech', 'mob', 'confronts']",neutral
422,"['i', 'lost', 'legs', 'finger', 'fighting', 'country', 'battlefield', 'people', 'like', 'jake', 'tapper', 'say', 'whatever', 'want', 'i', 'certainly', 'lose', 'legs', 'silence', 'whoever', 'want', 'i', 'talked', 'sean', 'hannity', 'double', 'standard', 'but', 'children', 'different', 'story']",negative
423,['istanbul'],negative
424,"['congressman', 'brian', 'mast', 'f', 'l', 'walking', 'protesters', 'leaving', 'trump', 'r', 'n', 'c', 'speech', 'mob', 'confronts']",neutral
425,"['i', 'lost', 'legs', 'finger', 'fighting', 'country', 'battlefield', 'people', 'like', 'jake', 'tapper', 'say', 'whatever', 'want', 'i', 'certainly', 'lose', 'legs', 'silence', 'whoever', 'want', 'i', 'talked', 'sean', 'hannity', 'double', 'standard', 'but', 'children', 'different', 'story']",negative
426,"['i', 'assembly', 'sponsor', 'early', 'voting', 'n', 'y', 'dem', 'colleagues', 'i', 'passed', 'i', 'senate', 'sponsor', 'we', 'pushed', 'republicans', 'pass', 'refuse', 'with', 'budget', 'surplus', 'enact', 'reforms', 'registration', 'absentee', 'ballots', 'key', 'items']",positive
427,"['happy', 'announce', 'i', 'adding', 'weekly', 'update', 'twitter', 'well', 'please', 'take', 'moment', 'watch', 'important', 'video', 'thoughts']",positive
428,"['enjoying', 'lunch', 'one', 'union', 'city', 'popular', 'restaurants', 'el', 'artesano', 'north', 'bergenline', 'ave', 'i', 'urge', 'everyone', 'please', 'support', 'local', 'businesses', 'fight', 'unsafe', 'toys']",positive
429,"['i', 'voting', ""'no"", 'mike', 'pompeo', 'nomination', 'secretary', 'state', 'diplomats', 'believe', 'diplomacy', 'america', 'top', 'diplomat', 'must', 'passionate', 'diplomacymike', 'pompeo', 'demonstrated', 'values', 'diplomacy', 'diplomats', 'state', 'department']",negative
430,"['i', 'introducing', 'amendment', 'national', 'defense', 'authorization', 'act', 'discontinue', 'program', 'transfers', 'military', 'weaponry', 'local', 'police', 'departments']",neutral
431,"['i', 'voting', ""'no"", 'mike', 'pompeo', 'nomination', 'secretary', 'state', 'diplomats', 'believe', 'diplomacy', 'america', 'top', 'diplomat', 'must', 'passionate', 'diplomacymike', 'pompeo', 'demonstrated', 'values', 'diplomacy', 'diplomats', 'state', 'department']",negative
432,"['i', 'introducing', 'amendment', 'national', 'defense', 'authorization', 'act', 'discontinue', 'program', 'transfers', 'military', 'weaponry', 'local', 'police', 'departments']",neutral
433,"['one', 'good', 'thing', 'joe', 'biden', 'owe', 'anyone', 'million', 'dollars']",positive
434,"['ok', 'i', 'start', 'i', 'give', 'capitol', 'tours', 'anyone', 'last', 'week']",neutral
435,"['we', 'specifically', 'instructed', 'protecting', 'us', 'tell', 'anyone', 'including', 'family', 'exactly', 'reasons', 'remain', 'obvious']",neutral
436,"['the', 'speaker', 'removed', 'chambers']",neutral
437,"['mc', 'connell', 'threatening', 'filibuster', 'organizing', 'resolution', 'allows', 'democrats', 'assume', 'committee', 'chair', 'positions', 'it', 'absolutely', 'unprecedented', 'wacky', 'counterproductive', 'request', 'we', 'senate']",negative
